379451133,GILL,Matthew,6982,Airport,Spring Field,New Cicily
255040371,MILLS,Ernest,10423,Dogwood,Spring Field,New Cicily
-842000135,BARBER,Charles,14647,Delaware,Spring Field,New Cicily
-576765182,BULLOCK,Howard,27442,Twelfth,Spring Field,New Cicily
-564573402,PARKER,Stanley,15318,Maple,Spring Field,New Cicily
74862034,LEACH,Roy,28460,Willow,Spring Field,New Cicily
-416145430,RICHARD,Allan,28452,Pioneer,Spring Field,New Cicily
2080353786,HUBER,Casey,27640,Columbine,Spring Field,New Cicily
29853606,PHELPS,Annie,8249,Tenth,Spring Field,New Cicily
92086503,NORTON,Theodore,18489,Aspen,Spring Field,New Cicily
-287637142,LEWIS,Christina,27017,Airport,Spring Field,New Cicily
1734203681,LANG,Leslie,9806,Juniper,Spring Field,New Cicily
700645621,RODRIGUEZ,Amy,3747,County Line,Spring Field,New Cicily
231196717,SHEPPARD,Ruth,21190,Williams,Spring Field,New Cicily
-1281762002,WHITAKER,Carolyn,17823,Jackson,Spring Field,New Cicily
-135242312,ELLISON,Andrea,17985,Spruce,Spring Field,New Cicily
-1281739432,ROMAN,Valeria,21622,Spruce,Spring Field,New Cicily
221516681,NGUYEN,Jenny,11694,Lake,Spring Field,New Cicily
-1168269110,FERNANDEZ,Ronald,2558,First,Spring Field,New Cicily
524097928,MCINTOSH,Larry,29928,Highland,Spring Field,New Cicily
-1183381046,ARCHER,Katelyn,25168,Tenth,Spring Field,New Cicily
1005688938,BALL,Audrey,13190,Smith,Spring Field,New Cicily
-1976766970,REYES,Kathy,16800,Pecan,Spring Field,New Cicily
-1885166291,MORA,Cheryl,9417,Thirteenth,Spring Field,New Cicily
-208578800,MAYO,Edward,7181,Washington,Spring Field,New Cicily
-1193554271,HUBER,Robert,12760,Palo Verde,Spring Field,New Cicily
416700077,ROSS,Jeremiah,4930,Shore,Spring Field,New Cicily
