-1292802131,VAZQUEZ,Danny,17226,Thirteenth,Spring Field,New Cicily
864441888,SHERMAN,Paula,12863,Hickory,Spring Field,New Cicily
-1264803,REESE,Sylvia,15968,Cedar,Spring Field,New Cicily
841604572,BLANKENSHIP,Alex,2555,Highland,Spring Field,New Cicily
1251837860,JACKSON,Oscar,17918,Mountain View,Spring Field,New Cicily
-1966274337,WEST,Nancy,4802,Wood,Spring Field,New Cicily
1508566912,SHERMAN,Cheyenne,29257,Park,Spring Field,New Cicily
74862034,LEACH,Roy,28460,Willow,Spring Field,New Cicily
-562448086,HICKMAN,Natalie,20481,Ridge,Spring Field,New Cicily
142635322,STARK,Anna,10472,Mesquite,Spring Field,New Cicily
-564573402,PARKER,Stanley,15318,Maple,Spring Field,New Cicily
2044117583,CARNEY,Anna,22851,Canyon,Spring Field,New Cicily
1911659193,LAWRENCE,Shane,2353,Thirteenth,Spring Field,New Cicily
455663664,BARAJAS,Jack,15930,Lee,Spring Field,New Cicily
-642736840,PATTON,Jonathan,2593,S 100,Spring Field,New Cicily
-192155162,MCKINNEY,Vincent,20327,Birch,Spring Field,New Cicily
-842000135,BARBER,Charles,14647,Delaware,Spring Field,New Cicily
379451133,GILL,Matthew,6982,Airport,Spring Field,New Cicily
-416145430,RICHARD,Allan,28452,Pioneer,Spring Field,New Cicily
2080353786,HUBER,Casey,27640,Columbine,Spring Field,New Cicily
255040371,MILLS,Ernest,10423,Dogwood,Spring Field,New Cicily
-576765182,BULLOCK,Howard,27442,Twelfth,Spring Field,New Cicily
